diet,taxon,species,id,prox,med,dist,clear
Herbivorous,Bat,Artibeus lituratus,A_litu_1,23.17806447318899,18.374247600723663,12.34962186748556,NA
Herbivorous,Bat,Artibeus lituratus,A_litu_2,18.894874581533028,18.02864487573859,12.314181066023023,NA
Herbivorous,Bat,Artibeus lituratus,A_litu_3,18.67894765326936,19.364529397902523,13.456170050588089,NA
Herbivorous,Bat,Artibeus lituratus,A_litu_A,NA,NA,NA,7.443050264042485
Herbivorous,Bat,Artibeus lituratus,A_litu_B,NA,NA,NA,11.368330177286028
Herbivorous,Bat,Artibeus lituratus,A_litu_C,NA,NA,NA,16.00424636847115
Herbivorous,Bat,Artibeus lituratus,A_litu_D,NA,NA,NA,20.264257091348416
Herbivorous,Bat,Artibeus lituratus,A_litu_E,NA,NA,NA,27.14857621336742
Herbivorous,Bat,Artibeus lituratus,A_litu_F,NA,NA,NA,12.587423272924262
Herbivorous,Bat,Carollia perspicillata,C_pers_1,22.07831329349399,20.96522393664462,15.960018560397597,NA
Herbivorous,Bat,Carollia perspicillata,C_pers_2,19.687009633145117,15.157077742015986,16.061001838003868,NA
Herbivorous,Bat,Carollia perspicillata,C_pers_3,19.42287450520747,16.351011968995163,13.897211730717236,NA
Herbivorous,Bat,Carollia perspicillata,C_pers_4,19.81803076157056,23.323197532576504,8.195152971233023,NA
Herbivorous,Bat,Carollia perspicillata,C_pers_A,NA,NA,NA,11.597651161810358
Herbivorous,Bat,Carollia perspicillata,C_pers_B,NA,NA,NA,6.638058016999684
Herbivorous,Bat,Carollia perspicillata,C_pers_C,NA,NA,NA,8.159934130642313
Herbivorous,Bat,Carollia perspicillata,C_pers_D,NA,NA,NA,9.51135452128462
Herbivorous,Bat,Carollia perspicillata,C_pers_E,NA,NA,NA,8.119660272243685
Protein,Bat,Desmodus rotundus,D_rotu_1,12.84508577395673,13.081366569099812,13.783971180585441,NA
Protein,Bat,Desmodus rotundus,D_rotu_1,NA,NA,NA,3.0722240406046515
Protein,Bat,Desmodus rotundus,D_rotu_10,NA,NA,NA,12.524440595473955
Protein,Bat,Desmodus rotundus,D_rotu_2,12.91133900524255,12.283731547050586,11.410830028854233,NA
Protein,Bat,Desmodus rotundus,D_rotu_2,NA,NA,NA,3.0248823741924307
Protein,Bat,Desmodus rotundus,D_rotu_3,10.81807138317218,12.905967812816362,11.385431160525183,NA
Protein,Bat,Desmodus rotundus,D_rotu_3,NA,NA,NA,1.0847037817257812
Protein,Bat,Desmodus rotundus,D_rotu_4,NA,NA,NA,2.2027615144022623
Protein,Bat,Desmodus rotundus,D_rotu_5,NA,NA,NA,3.619952368428739
Protein,Bat,Desmodus rotundus,D_rotu_6,NA,NA,NA,2.6989640885370547
Protein,Bat,Desmodus rotundus,D_rotu_7,NA,NA,NA,4.7737972589407605
Protein,Bat,Desmodus rotundus,D_rotu_8,NA,NA,NA,-0.2822942708260584
Protein,Bat,Desmodus rotundus,D_rotu_9,NA,NA,NA,-5.297372141824772
Protein,Bat,Myotis lucifugus,M_luci_1,12.149676217039705,11.643668171862586,10.060193847828206,NA
Protein,Bat,Myotis lucifugus,M_luci_1,NA,NA,NA,3.398499
Protein,Bat,Myotis lucifugus,M_luci_2,8.614923807357414,9.205624513710665,8.440691585267938,NA
Protein,Bat,Myotis lucifugus,M_luci_2,NA,NA,NA,1.114302
Protein,Bat,Myotis lucifugus,M_luci_3,10.090924590863438,9.1610158070344,7.116324277759625,NA
Protein,Bat,Myotis lucifugus,M_luci_3,NA,NA,NA,1.878334
Protein,Bat,Myotis lucifugus,M_luci_4,NA,NA,NA,2.924186
Protein,Bat,Myotis lucifugus,M_luci_5,NA,NA,NA,1.703239
Protein,Bat,Myotis lucifugus,M_luci_6,NA,NA,NA,5.879382
Protein,Bat,Tadarida brasiliensis,T_bras_1,19.93212620148396,17.796490565382967,18.1590983170994,NA
Protein,Bat,Tadarida brasiliensis,T_bras_1,NA,NA,NA,1.8801132028577445
Protein,Bat,Tadarida brasiliensis,T_bras_10,NA,NA,NA,4.816748325202883
Protein,Bat,Tadarida brasiliensis,T_bras_11,NA,NA,NA,1.9614493131503277
Protein,Bat,Tadarida brasiliensis,T_bras_12,NA,NA,NA,1.8315300023966512
Protein,Bat,Tadarida brasiliensis,T_bras_13,NA,NA,NA,1.3276129258957112
Protein,Bat,Tadarida brasiliensis,T_bras_14,NA,NA,NA,1.757449188190138
Protein,Bat,Tadarida brasiliensis,T_bras_15,NA,NA,NA,1.9840495648529441
Protein,Bat,Tadarida brasiliensis,T_bras_16,NA,NA,NA,2.1985794979971303
Protein,Bat,Tadarida brasiliensis,T_bras_17,NA,NA,NA,2.0266111029552736
Protein,Bat,Tadarida brasiliensis,T_bras_18,NA,NA,NA,1.8233171973573312
Protein,Bat,Tadarida brasiliensis,T_bras_19,NA,NA,NA,1.871916582637737
Protein,Bat,Tadarida brasiliensis,T_bras_2,19.381194968650757,18.304956795335773,15.267088520836456,NA
Protein,Bat,Tadarida brasiliensis,T_bras_2,NA,NA,NA,2.238988874570067
Protein,Bat,Tadarida brasiliensis,T_bras_20,NA,NA,NA,0.5994879924983005
Protein,Bat,Tadarida brasiliensis,T_bras_21,NA,NA,NA,1.288729334648861
Protein,Bat,Tadarida brasiliensis,T_bras_22,NA,NA,NA,1.7615323815832848
Protein,Bat,Tadarida brasiliensis,T_bras_23,NA,NA,NA,1.7049008375191406
Protein,Bat,Tadarida brasiliensis,T_bras_24,NA,NA,NA,0.991397003534367
Protein,Bat,Tadarida brasiliensis,T_bras_25,NA,NA,NA,1.7245891077593343
Protein,Bat,Tadarida brasiliensis,T_bras_26,NA,NA,NA,8.354710432119237
Protein,Bat,Tadarida brasiliensis,T_bras_27,NA,NA,NA,9.929249430344042
Protein,Bat,Tadarida brasiliensis,T_bras_28,NA,NA,NA,1.4492114329653794
Protein,Bat,Tadarida brasiliensis,T_bras_29,NA,NA,NA,2.037710784150542
Protein,Bat,Tadarida brasiliensis,T_bras_3,21.539773859249742,20.24242057409801,19.15209479120566,NA
Protein,Bat,Tadarida brasiliensis,T_bras_3,NA,NA,NA,1.8562838037088856
Protein,Bat,Tadarida brasiliensis,T_bras_30,NA,NA,NA,1.8478555795775269
Protein,Bat,Tadarida brasiliensis,T_bras_31,NA,NA,NA,2.7022448379224673
Protein,Bat,Tadarida brasiliensis,T_bras_32,NA,NA,NA,1.9018394548633737
Protein,Bat,Tadarida brasiliensis,T_bras_33,NA,NA,NA,2.1941191639975077
Protein,Bat,Tadarida brasiliensis,T_bras_34,NA,NA,NA,3.3673462490756307
Protein,Bat,Tadarida brasiliensis,T_bras_35,NA,NA,NA,5.552908499307616
Protein,Bat,Tadarida brasiliensis,T_bras_36,NA,NA,NA,1.2178693691421363
Protein,Bat,Tadarida brasiliensis,T_bras_37,NA,NA,NA,1.4926807521888252
Protein,Bat,Tadarida brasiliensis,T_bras_4,21.665121454298713,21.56114804900654,11.456508372553587,NA
Protein,Bat,Tadarida brasiliensis,T_bras_4,NA,NA,NA,1.9414539381225935
Protein,Bat,Tadarida brasiliensis,T_bras_5,16.81714368160226,21.669318553099583,13.708418349798537,NA
Protein,Bat,Tadarida brasiliensis,T_bras_5,NA,NA,NA,1.7149743647699203
Protein,Bat,Tadarida brasiliensis,T_bras_6,16.74724684425899,19.914389321698057,11.74507879478782,NA
Protein,Bat,Tadarida brasiliensis,T_bras_6,NA,NA,NA,1.5826615932383155
Protein,Bat,Tadarida brasiliensis,T_bras_7,22.764033615587035,26.411737787663053,15.53673026732344,NA
Protein,Bat,Tadarida brasiliensis,T_bras_7,NA,NA,NA,2.0947410836519422
Protein,Bat,Tadarida brasiliensis,T_bras_8,22.144594107223373,24.458711164840533,14.468105015779196,NA
Protein,Bat,Tadarida brasiliensis,T_bras_8,NA,NA,NA,2.366351762572388
Protein,Bat,Tadarida brasiliensis,T_bras_9,NA,NA,NA,2.2301931776576582
Omnivorous,Rodent,Akodon montensis,A_mont_1,12.180775630559907,12.620818653630215,8.830265467983958,NA
Omnivorous,Rodent,Akodon montensis,A_mont_1,NA,NA,NA,4.729529857852881
Omnivorous,Rodent,Akodon montensis,A_mont_2,11.291341865889764,11.548107511543458,7.830347522574836,NA
Omnivorous,Rodent,Akodon montensis,A_mont_2,NA,NA,NA,3.8821423311531493
Omnivorous,Rodent,Akodon montensis,A_mont_3,13.206073181803244,12.002286066131314,6.622486407442757,NA
Omnivorous,Rodent,Akodon montensis,A_mont_3,NA,NA,NA,2.881541870339022
Omnivorous,Rodent,Akodon montensis,A_mont_4,12.259372374909205,9.300885423850708,9.744239674179902,NA
Omnivorous,Rodent,Akodon montensis,A_mont_4,NA,NA,NA,3.212805478695277
Omnivorous,Rodent,Akodon montensis,A_mont_5,NA,NA,NA,4.977773639393002
Omnivorous,Rodent,Akodon montensis,A_mont_6,NA,NA,NA,6.06588505805954
Omnivorous,Rodent,Mus musculus,M_musc_1,10.110921979409966,8.753268797747701,7.56334819412889,NA
Omnivorous,Rodent,Mus musculus,M_musc_1,NA,NA,NA,0.7683188946525008
Omnivorous,Rodent,Mus musculus,M_musc_2,12.49945870386611,10.221408044406,8.258364993368135,NA
Omnivorous,Rodent,Mus musculus,M_musc_2,NA,NA,NA,1.8662995852471058
Omnivorous,Rodent,Mus musculus,M_musc_3,10.322724902956045,8.642397534805355,5.538490012011673,NA
Omnivorous,Rodent,Mus musculus,M_musc_3,NA,NA,NA,1.591324304817777
Omnivorous,Rodent,Mus musculus,M_musc_4,14.84464690461051,8.54864452210589,9.178735481179848,NA
Omnivorous,Rodent,Mus musculus,M_musc_4,NA,NA,NA,1.2036737282342187
Omnivorous,Rodent,Mus musculus,M_musc_5,11.964278075394033,10.131042358932001,8.470291881350422,NA
Omnivorous,Rodent,Mus musculus,M_musc_5,NA,NA,NA,1.4860146858486833
Omnivorous,Rodent,Mus musculus,M_musc_6,16.700114328884002,8.945002524427384,8.068450319587358,NA
Omnivorous,Rodent,Mus musculus,M_musc_6,NA,NA,NA,2.4686331862348627
Omnivorous,Rodent,Rattus norvegicus,R_norv_1,13.188203221090886,8.46587364706995,5.520217186074917,NA
Omnivorous,Rodent,Rattus norvegicus,R_norv_1,NA,NA,NA,3.3282933021352004
Omnivorous,Rodent,Rattus norvegicus,R_norv_2,6.126135822918427,7.010894937795454,4.966703387951925,NA
Omnivorous,Rodent,Rattus norvegicus,R_norv_2,NA,NA,NA,0.9182754669363288
Omnivorous,Rodent,Rattus norvegicus,R_norv_3,10.077036624403318,5.931073576027323,4.408654788746202,NA
Omnivorous,Rodent,Rattus norvegicus,R_norv_3,NA,NA,NA,1.2330783770255018
Omnivorous,Rodent,Rattus norvegicus,R_norv_4,9.532817922891205,6.981593659595732,5.524702327060213,NA
Omnivorous,Rodent,Rattus norvegicus,R_norv_4,NA,NA,NA,1.0513097038807921
Omnivorous,Rodent,Rattus norvegicus,R_norv_5,NA,NA,NA,1.236041843644075
Omnivorous,Rodent,Rattus norvegicus,R_norv_6,NA,NA,NA,0.8789587858466679
Omnivorous,Rodent,Rattus norvegicus,R_norv_7,NA,NA,NA,1.0259700811539036
Protein,Rodent,Peromyscus leucopus,P_leuc_1,9.682247793809383,8.421093489951483,5.565184581506714,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_1,NA,NA,NA,0.971481
Protein,Rodent,Peromyscus leucopus,P_leuc_2,8.811221997658333,8.744251762077626,5.3482713237212325,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_2,NA,NA,NA,1.206486
Protein,Rodent,Peromyscus leucopus,P_leuc_3,12.883731416530052,11.562475262856,8.271216214209737,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_3,NA,NA,NA,0.729494
Protein,Rodent,Peromyscus leucopus,P_leuc_4,NA,NA,NA,1.261096
Protein,Rodent,Peromyscus leucopus,P_leuc_5,NA,NA,NA,0.702608
